%%% Global Ocean Heat Content estimate from 1993 to 2022 (Monthly)  v1.1.2
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]
1998	11	-2.90 	1.80 	-3.84 	1.88 	-4.32 	2.05 	-4.48 	2.01 
1998	12	-3.06 	1.62 	-4.10 	2.38 	-4.81 	1.31 	-4.94 	1.54 
1999	1	-3.14 	1.69 	-4.13 	2.41 	-4.91 	1.41 	-5.01 	1.44 
1999	2	-3.24 	1.43 	-4.26 	1.95 	-5.07 	1.25 	-5.12 	0.77 
1999	3	-3.32 	1.21 	-4.30 	1.40 	-5.13 	1.24 	-5.18 	0.70 
1999	4	-3.33 	1.18 	-4.33 	1.88 	-5.17 	1.28 	-5.23 	1.42 
1999	5	-3.34 	1.35 	-4.38 	2.36 	-5.28 	1.81 	-5.30 	1.65 
1999	6	-3.30 	0.93 	-4.32 	2.22 	-5.21 	2.59 	-5.21 	1.68 
1999	7	-3.23 	1.42 	-4.26 	3.02 	-5.14 	1.64 	-5.13 	2.84 
1999	8	-3.14 	1.43 	-4.19 	3.36 	-5.08 	1.97 	-5.08 	2.61 
1999	9	-3.04 	1.39 	-4.04 	2.88 	-5.01 	1.76 	-5.02 	2.70 
1999	10	-2.96 	1.74 	-3.89 	2.57 	-4.82 	2.49 	-4.84 	2.19 
1999	11	-2.92 	1.70 	-3.85 	2.00 	-4.78 	1.98 	-4.78 	1.66 
1999	12	-2.93 	1.89 	-3.87 	2.53 	-4.81 	1.82 	-4.78 	1.25 
2000	1	-2.97 	1.90 	-3.93 	2.26 	-4.87 	0.79 	-4.79 	1.62 
2000	2	-2.95 	1.41 	-3.88 	1.49 	-4.85 	1.07 	-4.76 	2.30 
2000	3	-2.94 	1.28 	-4.01 	1.42 	-5.03 	0.95 	-4.93 	1.58 
2000	4	-2.88 	1.21 	-3.96 	1.80 	-4.98 	1.49 	-4.87 	1.54 
2000	5	-2.78 	1.20 	-3.87 	2.26 	-4.83 	1.66 	-4.74 	1.43 
2000	6	-2.70 	1.10 	-3.78 	2.09 	-4.72 	1.90 	-4.61 	1.70 
2000	7	-2.63 	1.01 	-3.62 	2.66 	-4.57 	1.98 	-4.42 	2.22 
2000	8	-2.54 	1.48 	-3.44 	3.63 	-4.37 	2.10 	-4.18 	3.19 
2000	9	-2.51 	1.29 	-3.42 	3.41 	-4.32 	2.59 	-4.09 	2.90 
2000	10	-2.44 	1.36 	-3.41 	2.72 	-4.35 	2.22 	-4.07 	2.35 
2000	11	-2.29 	1.74 	-3.23 	1.92 	-4.12 	2.20 	-3.84 	2.02 
2000	12	-2.08 	1.77 	-3.00 	2.15 	-3.83 	1.24 	-3.53 	1.33 
2001	1	-1.89 	1.62 	-2.86 	1.80 	-3.68 	0.69 	-3.37 	1.42 
2001	2	-1.66 	1.03 	-2.65 	1.69 	-3.41 	1.11 	-3.10 	1.37 
2001	3	-1.43 	1.25 	-2.34 	1.59 	-3.02 	0.96 	-2.71 	1.57 
2001	4	-1.27 	0.96 	-2.14 	1.33 	-2.81 	1.20 	-2.50 	1.55 
2001	5	-1.17 	1.00 	-2.09 	2.19 	-2.79 	1.35 	-2.50 	1.53 
2001	6	-1.11 	1.22 	-1.96 	2.50 	-2.61 	1.77 	-2.32 	1.83 
2001	7	-1.05 	1.43 	-1.95 	2.76 	-2.59 	1.89 	-2.28 	2.68 
2001	8	-1.03 	1.50 	-1.98 	3.07 	-2.68 	1.68 	-2.37 	2.48 
2001	9	-1.02 	1.34 	-2.00 	2.42 	-2.72 	2.16 	-2.44 	1.72 
2001	10	-0.92 	1.27 	-1.84 	2.68 	-2.52 	2.50 	-2.28 	1.45 
2001	11	-0.87 	1.62 	-1.75 	2.25 	-2.41 	2.12 	-2.19 	1.82 
2001	12	-0.78 	1.59 	-1.61 	2.48 	-2.20 	1.07 	-2.03 	0.89 
2002	1	-0.76 	1.57 	-1.56 	2.52 	-2.10 	1.15 	-1.97 	0.81 
2002	2	-0.70 	1.08 	-1.34 	2.78 	-1.81 	1.37 	-1.73 	1.48 
2002	3	-0.67 	0.73 	-1.15 	1.14 	-1.60 	1.04 	-1.51 	1.93 
2002	4	-0.66 	0.75 	-1.01 	0.81 	-1.42 	1.66 	-1.33 	1.71 
2002	5	-0.57 	1.01 	-0.79 	2.11 	-1.15 	2.01 	-1.04 	1.68 
2002	6	-0.56 	1.24 	-0.82 	3.01 	-1.26 	2.09 	-1.18 	1.36 
2002	7	-0.57 	1.12 	-0.79 	2.42 	-1.20 	1.93 	-1.14 	1.80 
2002	8	-0.54 	1.44 	-0.69 	3.07 	-1.05 	2.14 	-0.99 	2.28 
2002	9	-0.46 	1.23 	-0.54 	2.34 	-0.87 	2.29 	-0.75 	1.45 
2002	10	-0.49 	1.67 	-0.60 	2.58 	-0.92 	2.07 	-0.80 	2.70 
2002	11	-0.42 	1.92 	-0.56 	2.48 	-0.87 	1.53 	-0.75 	2.00 
2002	12	-0.42 	1.85 	-0.58 	2.07 	-0.92 	1.15 	-0.77 	1.72 
2003	1	-0.39 	1.48 	-0.53 	1.84 	-0.93 	1.28 	-0.76 	0.92 
2003	2	-0.42 	1.07 	-0.67 	1.77 	-1.15 	0.91 	-0.94 	1.70 
2003	3	-0.39 	0.89 	-0.75 	1.31 	-1.29 	1.13 	-1.09 	1.72 
2003	4	-0.34 	0.62 	-0.83 	0.71 	-1.39 	1.48 	-1.23 	1.76 
2003	5	-0.29 	0.89 	-0.87 	1.22 	-1.43 	1.62 	-1.27 	1.28 
2003	6	-0.18 	0.85 	-0.78 	1.89 	-1.29 	1.77 	-1.10 	1.30 
2003	7	-0.05 	1.19 	-0.58 	1.93 	-1.09 	1.79 	-0.88 	1.89 
2003	8	0.06 	1.26 	-0.49 	2.73 	-0.97 	1.96 	-0.75 	2.01 
2003	9	0.16 	1.07 	-0.43 	2.79 	-0.91 	2.29 	-0.76 	1.65 
2003	10	0.29 	1.21 	-0.29 	2.55 	-0.81 	2.77 	-0.65 	1.81 
2003	11	0.38 	1.57 	-0.18 	1.91 	-0.72 	2.85 	-0.56 	1.04 
2003	12	0.42 	1.74 	-0.15 	1.46 	-0.75 	1.64 	-0.64 	1.39 
2004	1	0.50 	1.28 	0.06 	2.16 	-0.50 	0.74 	-0.41 	1.21 
2004	2	0.44 	0.94 	-0.03 	1.90 	-0.63 	1.68 	-0.55 	1.13 
2004	3	0.44 	0.73 	-0.01 	1.43 	-0.50 	1.34 	-0.45 	1.76 
2004	4	0.39 	0.83 	-0.06 	0.89 	-0.56 	1.54 	-0.51 	1.81 
2004	5	0.35 	0.73 	-0.04 	1.23 	-0.51 	1.51 	-0.49 	1.13 
2004	6	0.28 	0.97 	-0.08 	1.93 	-0.50 	1.92 	-0.50 	1.00 
2004	7	0.27 	1.32 	-0.06 	2.39 	-0.42 	1.62 	-0.47 	2.20 
2004	8	0.33 	1.35 	0.05 	3.03 	-0.30 	2.27 	-0.37 	2.22 
2004	9	0.39 	1.55 	0.15 	3.14 	-0.11 	2.35 	-0.18 	2.09 
2004	10	0.44 	1.54 	0.27 	2.35 	0.07 	2.74 	-0.07 	2.03 
2004	11	0.44 	1.71 	0.35 	2.15 	0.21 	2.57 	0.04 	1.59 
2004	12	0.55 	1.55 	0.59 	1.49 	0.56 	1.09 	0.40 	1.02 
2005	1	0.56 	1.07 	0.57 	1.18 	0.58 	1.50 	0.41 	1.07 
2005	2	0.79 	0.93 	0.96 	1.50 	1.11 	0.89 	0.91 	0.63 
2005	3	0.92 	0.82 	1.14 	0.79 	1.33 	1.22 	1.13 	1.11 
2005	4	1.06 	0.52 	1.45 	0.86 	1.75 	1.59 	1.59 	1.36 
2005	5	1.24 	0.84 	1.64 	1.30 	1.94 	2.36 	1.83 	1.17 
2005	6	1.39 	0.71 	1.95 	1.70 	2.23 	1.64 	2.10 	1.59 
2005	7	1.53 	0.79 	2.12 	1.29 	2.34 	1.71 	2.21 	1.38 
2005	8	1.60 	1.01 	2.21 	1.79 	2.42 	1.54 	2.32 	1.55 
2005	9	1.60 	1.16 	2.31 	2.20 	2.50 	1.93 	2.42 	1.28 
2005	10	1.55 	1.40 	2.32 	1.81 	2.53 	1.89 	2.55 	2.02 
2005	11	1.54 	1.51 	2.32 	1.29 	2.51 	1.74 	2.56 	1.75 
2005	12	1.50 	1.54 	2.28 	1.39 	2.44 	1.02 	2.48 	1.52 
2006	1	1.54 	1.46 	2.44 	1.29 	2.62 	1.57 	2.64 	1.24 
2006	2	1.44 	1.08 	2.32 	1.37 	2.46 	1.04 	2.50 	1.13 
2006	3	1.38 	0.69 	2.31 	0.95 	2.45 	1.42 	2.49 	1.09 
2006	4	1.35 	0.59 	2.26 	1.31 	2.35 	1.29 	2.38 	0.85 
2006	5	1.27 	0.58 	2.30 	1.24 	2.42 	1.62 	2.40 	1.46 
2006	6	1.22 	1.01 	2.14 	1.17 	2.27 	1.96 	2.22 	1.33 
2006	7	1.14 	1.31 	2.02 	1.17 	2.18 	2.17 	2.12 	2.07 
2006	8	1.05 	1.14 	1.88 	2.27 	2.07 	1.65 	1.92 	1.48 
2006	9	0.99 	1.32 	1.76 	2.12 	1.90 	2.16 	1.74 	1.44 
2006	10	1.00 	1.11 	1.72 	1.98 	1.83 	2.52 	1.60 	1.68 
2006	11	1.06 	1.42 	1.79 	2.13 	1.97 	2.53 	1.71 	1.23 
2006	12	1.10 	1.55 	1.88 	1.90 	2.15 	1.28 	1.90 	1.43 
2007	1	1.06 	1.14 	1.72 	1.69 	1.98 	1.79 	1.76 	0.90 
