%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
2003	12	0.11 	0.08 	-0.64 	0.21 	-1.14 	0.25 	-1.26 	0.36 
2004	1	0.19 	0.09 	-0.42 	0.23 	-0.87 	0.21 	-1.05 	0.28 
2004	2	0.15 	0.08 	-0.52 	0.22 	-1.00 	0.21 	-1.20 	0.32 
2004	3	0.08 	0.10 	-0.62 	0.24 	-1.10 	0.18 	-1.31 	0.34 
2004	4	0.04 	0.10 	-0.66 	0.23 	-1.14 	0.18 	-1.33 	0.35 
2004	5	0.02 	0.10 	-0.60 	0.21 	-1.03 	0.20 	-1.20 	0.33 
2004	6	0.00 	0.10 	-0.58 	0.22 	-0.92 	0.24 	-1.14 	0.37 
2004	7	0.00 	0.11 	-0.53 	0.23 	-0.83 	0.24 	-1.10 	0.42 
2004	8	0.11 	0.13 	-0.30 	0.23 	-0.53 	0.26 	-0.82 	0.45 
2004	9	0.26 	0.13 	-0.10 	0.29 	-0.33 	0.27 	-0.56 	0.48 
2004	10	0.32 	0.13 	0.00 	0.31 	-0.11 	0.27 	-0.30 	0.47 
2004	11	0.31 	0.14 	0.09 	0.26 	0.01 	0.28 	-0.14 	0.55 
2004	12	0.42 	0.16 	0.27 	0.25 	0.35 	0.26 	0.24 	0.52 
2005	1	0.44 	0.14 	0.23 	0.24 	0.29 	0.25 	0.26 	0.62 
2005	2	0.65 	0.16 	0.55 	0.22 	0.75 	0.26 	0.77 	0.57 
2005	3	0.89 	0.15 	0.84 	0.21 	1.11 	0.25 	1.17 	0.56 
2005	4	1.05 	0.16 	1.09 	0.21 	1.44 	0.25 	1.48 	0.52 
2005	5	1.17 	0.17 	1.13 	0.25 	1.46 	0.20 	1.49 	0.56 
2005	6	1.36 	0.18 	1.38 	0.25 	1.73 	0.18 	1.76 	0.59 
2005	7	1.52 	0.20 	1.50 	0.24 	1.74 	0.21 	1.87 	0.66 
2005	8	1.57 	0.18 	1.49 	0.25 	1.71 	0.28 	1.84 	0.62 
2005	9	1.54 	0.16 	1.50 	0.23 	1.72 	0.29 	1.70 	0.51 
2005	10	1.54 	0.18 	1.58 	0.25 	1.72 	0.31 	1.63 	0.51 
2005	11	1.57 	0.18 	1.57 	0.29 	1.66 	0.34 	1.49 	0.41 
2005	12	1.56 	0.15 	1.53 	0.23 	1.54 	0.34 	1.35 	0.45 
2006	1	1.63 	0.15 	1.73 	0.23 	1.82 	0.34 	1.58 	0.38 
2006	2	1.57 	0.14 	1.70 	0.15 	1.75 	0.32 	1.49 	0.41 
2006	3	1.57 	0.14 	1.82 	0.12 	1.96 	0.32 	1.71 	0.34 
2006	4	1.59 	0.13 	1.89 	0.11 	2.07 	0.32 	1.84 	0.36 
2006	5	1.65 	0.14 	2.14 	0.09 	2.41 	0.30 	2.17 	0.34 
2006	6	1.62 	0.13 	2.16 	0.13 	2.50 	0.30 	2.30 	0.32 
2006	7	1.53 	0.13 	2.14 	0.11 	2.54 	0.21 	2.30 	0.28 
2006	8	1.42 	0.13 	2.08 	0.11 	2.58 	0.20 	2.29 	0.25 
2006	9	1.38 	0.12 	2.03 	0.13 	2.51 	0.16 	2.31 	0.27 
2006	10	1.38 	0.12 	2.07 	0.14 	2.65 	0.16 	2.48 	0.30 
2006	11	1.42 	0.13 	2.20 	0.14 	2.88 	0.17 	2.75 	0.30 
2006	12	1.53 	0.17 	2.42 	0.20 	3.12 	0.17 	3.00 	0.34 
2007	1	1.47 	0.16 	2.31 	0.22 	3.01 	0.19 	2.93 	0.32 
2007	2	1.51 	0.19 	2.36 	0.28 	3.09 	0.22 	3.03 	0.37 
2007	3	1.50 	0.18 	2.37 	0.32 	3.08 	0.22 	3.02 	0.40 
2007	4	1.56 	0.19 	2.45 	0.35 	3.17 	0.28 	3.14 	0.40 
2007	5	1.64 	0.20 	2.54 	0.37 	3.26 	0.32 	3.29 	0.40 
2007	6	1.66 	0.22 	2.58 	0.38 	3.28 	0.40 	3.29 	0.36 
2007	7	1.62 	0.23 	2.53 	0.39 	3.18 	0.45 	3.18 	0.31 
2007	8	1.60 	0.23 	2.55 	0.37 	3.12 	0.49 	3.16 	0.29 
2007	9	1.56 	0.21 	2.54 	0.36 	3.10 	0.52 	3.08 	0.28 
2007	10	1.51 	0.23 	2.47 	0.32 	3.00 	0.51 	2.95 	0.31 
