%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
2004	10	0.46	1.44	0.29 	2.43 	0.11 	2.80 	-0.03 	2.01 		
2004	11	0.46	1.38	0.37 	2.22 	0.24 	2.69 	0.06 	1.57 		
2004	12	0.57	1.17	0.60 	1.55 	0.58 	1.24 	0.41 	1.03 		
2005	1	0.57	0.91	0.57 	1.22 	0.58 	1.52 	0.40 	1.09 		
2005	2	0.8	0.95	0.96 	1.40 	1.12 	0.92 	0.92 	0.61 		
2005	3	0.93	0.89	1.14 	0.68 	1.33 	1.18 	1.13 	1.14 		
2005	4	1.07	0.64	1.45 	0.91 	1.75 	1.49 	1.59 	1.41 		
2005	5	1.24	0.72	1.63 	1.33 	1.94 	2.28 	1.82 	1.16 		
2005	6	1.4	0.87	1.95 	1.76 	2.22 	1.68 	2.09 	1.64 		
2005	7	1.54	0.79	2.11 	1.39 	2.33 	1.86 	2.19 	1.40 		
2005	8	1.59	0.87	2.21 	1.88 	2.41 	1.66 	2.31 	1.59 		
2005	9	1.6	1.36	2.30 	2.32 	2.48 	1.99 	2.40 	1.25 		
2005	10	1.56	1.3	2.30 	1.91 	2.51 	2.01 	2.54 	1.97 		
2005	11	1.54	1.1	2.31 	1.37 	2.49 	1.91 	2.55 	1.75 		
2005	12	1.5	0.98	2.28 	1.41 	2.43 	1.19 	2.48 	1.49 		
2006	1	1.54	0.8	2.43 	1.33 	2.61 	1.56 	2.65 	1.20 		
2006	2	1.44	0.91	2.32 	1.29 	2.46 	1.05 	2.50 	1.03 		
2006	3	1.37	0.91	2.30 	0.87 	2.44 	1.41 	2.49 	0.98 		
2006	4	1.34	0.71	2.25 	1.36 	2.34 	1.27 	2.38 	0.86 		
2006	5	1.26	0.52	2.30 	1.36 	2.41 	1.65 	2.41 	1.51 		
2006	6	1.21	0.81	2.13 	1.23 	2.26 	2.06 	2.23 	1.34 		
2006	7	1.14	0.83	2.02 	1.27 	2.17 	2.27 	2.12 	2.06 		
2006	8	1.06	0.87	1.87 	2.33 	2.06 	1.71 	1.92 	1.50 		
2006	9	0.99	1.25	1.76 	2.23 	1.89 	2.24 	1.74 	1.45 		
2006	10	0.99	1.2	1.71 	2.05 	1.83 	2.61 	1.60 	1.66 		
2006	11	1.04	1.25	1.78 	2.20 	1.96 	2.54 	1.71 	1.24 		
2006	12	1.08	1.2	1.87 	1.99 	2.14 	1.27 	1.88 	1.40 		
2007	1	1.03	1.1	1.71 	1.72 	1.96 	1.78 	1.73 	0.86 		
